City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,Albanel,48.8832,-72.4487,33.94,74,100,12.66,CA,2022-02-02 17:30:58
274,Palembang,-2.9167,104.7458,78.89,89,20,3.44,ID,2022-02-02 17:30:58
275,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,85.8,74,40,3.44,BR,2022-02-02 17:30:59
276,Srednekolymsk,67.45,153.6833,-19.3,95,93,3.74,RU,2022-02-02 17:30:59
277,Lompoc,34.6391,-120.4579,60.39,36,0,6.91,US,2022-02-02 17:31:00
278,Nantucket,41.2835,-70.0995,45.01,93,100,9.22,US,2022-02-02 17:26:19
279,Pevek,69.7008,170.3133,-8.86,79,10,3.94,RU,2022-02-02 17:31:01
280,Hobyo,5.3505,48.5268,77.79,77,19,18.57,SO,2022-02-02 17:31:01
281,Prince Rupert,54.3161,-130.3201,40.69,93,100,11.5,CA,2022-02-02 17:28:24
282,Tabou,4.423,-7.3528,81.95,73,78,9.51,CI,2022-02-02 17:31:02
283,Weston,26.1004,-80.3998,78.82,61,40,4.0,US,2022-02-02 17:28:13
284,Parabel,58.6978,81.4825,12.9,94,92,7.72,RU,2022-02-02 17:31:03
285,Clyde River,70.4692,-68.5914,-19.97,69,100,4.61,CA,2022-02-02 17:31:04
286,Ushtobe,45.2514,77.9838,15.3,90,79,5.03,KZ,2022-02-02 17:31:05
287,Abha,18.2164,42.5053,60.62,72,0,6.91,SA,2022-02-02 17:31:06
288,Hovd,48.0056,91.6419,-6.81,96,91,2.3,MN,2022-02-02 17:31:06
289,Nouadhibou,20.931,-17.0347,80.58,36,3,13.8,MR,2022-02-02 17:31:07
290,Sungaipenuh,-2.0833,101.3833,64.87,96,96,2.82,ID,2022-02-02 17:31:07
291,Beaufort,5.3473,115.7455,78.96,92,74,3.33,MY,2022-02-02 17:31:08
292,Odweyne,9.4092,45.064,68.77,63,98,14.52,SO,2022-02-02 17:31:09
