City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
287,Abha,SA,60.62,scattered clouds,18.2164,42.5053,Abha Hotel
289,Nouadhibou,MR,80.58,light rain,20.931,-17.0347,El Medina
290,Sungaipenuh,ID,64.87,few clouds,-2.0833,101.3833,penginapan citra alam
291,Beaufort,MY,78.96,clear sky,5.3473,115.7455,The Gem Hotel Beaufort
292,Odweyne,SO,68.77,scattered clouds,9.4092,45.064,Eng Hiirey House
294,Shwebo,MM,60.48,clear sky,22.5667,95.7,MOON SHINE Guest House
295,Cherdyn,RU,23.27,overcast clouds,60.403,56.4787,"Baza Otdykha ""Severnyy Ural"""
296,Huntsville,US,54.28,broken clouds,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
297,Sipkovica,MK,27.36,light rain,42.035,20.9156,Snow Patrol Lodge
298,Villazon,BO,61.05,few clouds,-22.0866,-65.5942,La Candelaria
299,Coihueco,CL,79.54,few clouds,-36.6167,-71.8333,Frutillares Centro Coihueco
300,Jiwani,PK,73.31,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
301,Apaseo El Alto,MX,69.82,overcast clouds,20.45,-100.6167,Hotel Gali
302,Laguna,US,55.09,scattered clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
303,Hereford,GB,51.4,broken clouds,52.0568,-2.7148,The Green Dragon Hotel
305,Moree,AU,71.62,few clouds,-29.4667,149.85,Molika Springs Motel
307,Rawson,AR,79.05,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
308,Jinchang,CN,20.82,broken clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
309,Bonavista,CA,30.11,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
310,Gasa,PS,58.17,light rain,31.5,34.4667,رابطة الفنانين الفلسطينيين
311,Buchanan,LR,85.96,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
312,Braco Do Norte,BR,93.56,broken clouds,-28.275,-49.1656,Costa Nobre Hotel
313,Santiago De Cuba,CU,84.31,scattered clouds,20.0247,-75.8219,Cubanacan San Felix
314,Palmira,CO,84.79,clear sky,3.5394,-76.3036,Hotel Las Victorias
315,Los Algarrobos,PA,84.61,scattered clouds,8.5,-82.4333,Waterfall Hostel
316,Santo Tomas,PH,77.32,few clouds,14.1079,121.1414,Microtel by Wyndham Batangas
318,Tucurui,BR,85.77,clear sky,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
320,Kropotkin,RU,38.19,broken clouds,45.4375,40.5756,Hotel Europe Kropotkin
321,Christchurch,NZ,79.0,scattered clouds,-43.5333,172.6333,The George
322,Tura,IN,56.25,light rain,25.5198,90.2201,Hotel RIKMAN Continental
324,Mitzic,GA,72.03,light rain,0.7821,11.549,Motel Emys
325,Sao Joao Da Barra,BR,84.29,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
326,Necochea,AR,90.48,light rain,-38.5473,-58.7368,dyd -mar Hotel
327,Shostka,UA,25.57,clear sky,51.863,33.4698,Premiere Hotel
328,Morrope,PE,78.91,light rain,-6.5417,-80.0111,CASA WAYRA HOTEL
329,Butembo,CD,63.32,broken clouds,0.15,29.2833,Hotel Butembo
330,Eldoret,KE,62.69,light rain,0.5204,35.2699,Flora Homes
333,Mata,PT,48.76,broken clouds,40.683,-7.4592,Hostel EntryFik
336,Mitsamiouli,KM,80.89,few clouds,-11.3847,43.2844,Foyer ADM
338,Najran,SA,63.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
339,Port Blair,IN,78.84,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
340,Coleraine,GB,50.04,scattered clouds,55.1333,-6.6667,The Lodge Hotel
342,San Policarpo,PH,78.91,light rain,12.1791,125.5072,Agapita M. Nicart
343,Santa Cruz,BO,91.45,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
344,Hobbs,US,33.89,clear sky,32.7026,-103.136,Best Western Executive Inn
346,Narsaq,GL,7.02,few clouds,60.9167,-46.05,Sleep In Narsaq
347,Berlevag,NO,19.2,light rain,70.8578,29.0864,Kvitbrakka
348,Bose,IT,57.96,clear sky,45.4612,8.0137,Locanda Borgo Antico
349,Pokhvistnevo,RU,30.02,light rain,53.6524,52.1274,Pohvistnevskaya Central Hotel
350,Barmer,IN,72.28,scattered clouds,25.75,71.3833,OYO 71911 Hotel Amber Palace
352,Honiara,SB,78.21,light rain,-9.4333,159.95,Heritage Park Hotel
353,Terrace,CA,25.43,clear sky,54.5163,-128.6035,Northern Motor Inn
355,Kandrian,PG,77.63,scattered clouds,-6.2167,149.55,Kandrian Station
359,Annavasal,IN,74.79,clear sky,10.4667,78.7,ஸ்ரீ சக்தி விநாயகர் கோவில்
360,Billings,US,1.36,scattered clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
361,Karakol,KG,16.93,few clouds,42.4907,78.3936,"Gostinitsa ""Al'tamira"""
363,Esil,KZ,13.12,scattered clouds,51.9556,66.4042,Egorkino Hotel
364,Shaowu,CN,40.44,few clouds,27.3409,117.4831,Yijie Express Hotel
366,Cabedelo,BR,88.47,clear sky,-6.9811,-34.8339,Hotel Pigalle
367,Zhanaozen,KZ,39.99,light rain,43.3,52.8,K.korabay 28A
368,Khoy,IR,22.24,clear sky,38.5504,44.9535,ترک سل
369,Haimen,CN,55.29,few clouds,23.1935,116.6142,Jinghao Business Hotel
370,Havelock,US,59.95,overcast clouds,34.8791,-76.9013,Sherwood Motel
373,Dolores,AR,90.66,few clouds,-36.3132,-57.6792,Apart Hotel - Arianos
374,Te Anau,NZ,59.67,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
